,gene,pval,qval,log2fc,mean,zero_mean,grad,coef_mle,coef_sd,ll
26,PTPRM,0.0,0.0,1.0807554024990613,0.18065306837643838,False,0.03614076731143081,-1.0807554024990613,0.021026326429403743,-265.7405049744647
27,RORA,0.0,0.0,1.0752347398288105,0.34037651967353155,False,0.002082048916118067,-1.0752347398288105,0.015314536310313908,-34332.89326596657
32,TEK,0.0,0.0,1.010209883670576,0.2601025541263772,False,0.011855909650383295,-1.010209883670576,0.017480448399339623,-3407.093083293573
42,CNTNAP2,0.0,0.0,0.9695073429905529,0.22999563233026002,False,1.3885942563545669e-09,-0.9695073429905529,0.021037089530336107,-28849.722036040355
48,UST,0.0,0.0,0.9288831956195105,0.24413407361381267,False,0.2634662099079699,-0.9288831956195105,0.01802004967489196,-11350.323938759908
55,HLF,0.0,0.0,0.9097311799371733,0.5900417427392611,False,0.0557599738224591,-0.9097311799371733,0.01159051128094959,-1644.39527222296
56,NAV3,0.0,0.0,0.8918472157549899,0.222020206849489,False,0.12847602979126926,-0.8918472157549899,0.01889553457716806,-5459.503219499405
57,LOC102136822,0.0,0.0,0.8883852821320324,0.4307541315830144,False,0.031133690310571168,-0.8883852821320324,0.013565847825371811,-37175.79169083354
60,CHN2,0.0,0.0,0.8776674771095365,0.2288452551148889,False,0.18474549669885992,-0.8776674771095365,0.018613080463445234,-6900.733608881743
61,TENM4,0.0,0.0,0.8760956810261826,0.9180683857539986,False,0.5336480678960382,-0.8760956810261826,0.009293018089026177,-12170.305493050513
65,SLC8A1,0.0,0.0,0.8644282042983636,0.24773850669066017,False,0.06020510444541962,-0.8644282042983636,0.017891373887748526,-24150.728389369677
81,LRFN5,0.0,0.0,0.800842956478253,0.4498501507408839,False,0.39985536225567636,-0.800842956478253,0.0132928326400867,-8246.088993281346
85,ABCB1,0.0,0.0,0.7775316976309775,0.24685243183380665,False,0.10135293957558245,-0.7775316976309775,0.01795683692517736,-5457.323890427268
100,LOC102117971,0.0,0.0,0.7228390597078455,0.27096164569923387,False,0.26262694945928455,-0.7228390597078455,0.017176001894383747,-7319.448555416128
101,MDGA2,0.0,0.0,0.7199642582542894,0.4128726395871134,False,0.0008688165064181253,-0.7199642582542894,0.01391635853185271,-39183.872062383045
104,SAMD12,0.0,0.0,0.7155381882683927,0.32063356357010997,False,0.16553826616715736,-0.7155381882683927,0.01579500253005588,-4805.080318183239
119,CLNK,0.0,0.0,0.6800373097426959,0.22809812905171245,False,0.047390490901340954,-0.6800373097426959,0.018761416565251328,-3437.236886347394
122,SERPING1,0.0,0.0,0.6702678064131822,0.1787190681751098,False,0.00022249162645534564,-0.6702678064131822,0.021207308413188925,-23172.922136521713
123,MECOM,0.0,0.0,0.667392332366468,0.990548113123478,False,0.035747553456992875,-0.667392332366468,0.009009633495728833,-54414.17856461637
134,EXT1,0.0,0.0,0.6517683366635743,0.155462861217304,False,0.17057891745661619,-0.6517683366635743,0.022764004329886768,-8494.599216790326
140,ST6GAL1,0.0,0.0,0.6374304030463335,0.4602068392708084,False,0.40692486607588907,-0.6374304030463335,0.013243145348889703,-5320.406724650869
142,MSRB3,0.0,0.0,0.6292935312023901,0.3385410595563363,False,0.16407054112110955,-0.6292935312023901,0.015449057545165974,-2626.435828073255
146,LOC102116553,0.0,0.0,0.6205755653765198,0.18805289064759112,False,0.1585964803694579,-0.6205755653765198,0.02074113927840645,-17968.250010995576
148,EPB41L3,0.0,0.0,0.6184597228164549,0.2592655272827235,False,0.27332631197417134,-0.6184597228164549,0.017667119614638804,-11982.863997569952
149,MAML2,0.0,0.0,0.6178086315077117,0.3906657559036762,False,0.08382031281170835,-0.6178086315077117,0.014393145758342933,-6561.032940343567
153,ZFPM2,0.0,0.0,0.615058463378006,0.2224074013583917,False,0.225473713695895,-0.615058463378006,0.019079625497103212,-7201.970796142649
155,LOC102123651,0.0,0.0,0.6113313504801722,0.1581913629222719,False,1.1510769542480932e-05,-0.6113313504801722,0.022629294014150012,-21712.235015311868
157,LOC102124317,0.0,0.0,0.6076970956363236,0.8502573643071736,False,0.8016322704365494,-0.6076970956363236,0.009763456512277516,-5440.935262945397
162,SETBP1,0.0,0.0,0.598920481042136,0.26162761848601435,False,0.20934175473097982,-0.598920481042136,0.017612617653977675,-7738.010918604939
168,CEMIP2,0.0,0.0,0.5946004556842284,0.16810006729078342,False,0.19051884561108104,-0.5946004556842284,0.02197991345010898,-16780.887149515875
175,FOXO1,0.0,0.0,0.5840598370275324,0.20199472965318302,False,0.054438911809001546,-0.5840598370275324,0.0200678150209989,-553.9481426924162
182,LOC102124284,0.0,0.0,0.576512286082518,0.32835613197240254,False,0.32181046824386866,-0.576512286082518,0.015749351478424614,-7540.929171022721
186,DISC1,0.0,0.0,0.5747982066251923,0.21151249043904363,False,0.2056915961020362,-0.5747982066251923,0.01962584131535123,-24033.92623814749
188,CYP26A1,0.0,0.0,0.5611510472464858,0.49310810867101773,False,0.4722265250369986,-0.5611510472464858,0.012868335262193,-12570.79050706349
191,LOC102138137,0.0,0.0,0.5593528146427924,0.24046210030585924,False,0.22397373866982076,-0.5593528146427924,0.01843049896284109,-7092.368150854741
192,AFDN,0.0,0.0,0.55826912764851,0.2674990499977304,False,0.05259406209674741,-0.55826912764851,0.017475910558284354,-25586.184623810845
193,CNKSR3,0.0,0.0,0.5553161678283904,0.19121567957717306,False,0.21680346751896187,-0.5553161678283904,0.020675224696105002,-13780.085198335924
200,DLG2,0.0,0.0,0.5474205580851712,0.18431033290181614,False,0.096346069146839,-0.5474205580851712,0.021073593052090105,-5048.9075645364865
207,CARMIL1,0.0,0.0,0.5392651567700256,0.2336817274987668,False,0.0879310603052263,-0.5392651567700256,0.018729202966793732,-6002.134120598555
215,IL6ST,0.0,0.0,0.534698418043341,0.2841903699559259,False,0.06243158966591773,-0.534698418043341,0.016990581772726727,-27068.469764764388
218,HDAC9,0.0,0.0,0.5289245684668561,0.5956769220936566,False,0.5686234917415609,-0.5289245684668561,0.011741939491623237,-5673.860029235691
225,PLEKHG1,0.0,0.0,0.5202751509961766,0.17243276228626067,False,0.2012621102668234,-0.5202751509961766,0.021841871947294905,-5535.166940695274
227,IL12RB2,0.0,0.0,0.519589230683428,0.39908085062232007,False,0.4225721193866507,-0.519589230683428,0.014358125811889184,-9785.96577588226
234,CAMK2D,0.0,0.0,0.5134678171776699,0.3488802889045022,False,0.046426497897829204,-0.5134678171776699,0.015365477377133186,-3799.7779160494883
235,SEMA3C,0.0,0.0,0.5133627776066153,0.32218635120396194,False,0.01564119362455908,-0.5133627776066153,0.015989509200199162,-4658.58607485939
240,CPED1,0.0,0.0,0.5101263846154792,0.3009451886067726,False,0.30903762645467375,-0.5101263846154792,0.016549390555914294,-7939.835355653942
241,THRB,0.0,0.0,0.5099250152882553,0.66122617790041,False,0.3245879333157283,-0.5099250152882553,0.011165013397475517,-14064.009722771441
243,MYCT1,0.0,0.0,0.5042312368376127,0.22753958865216775,False,0.23625966382691446,-0.5042312368376127,0.01904362363903794,-12063.825791911546
244,LOC102141792,0.0,0.0,0.501883666578357,0.5353414481323965,False,0.4823596196586407,-0.501883666578357,0.012418357166487076,-7706.239918002363
248,CCSER1,0.0,0.0,0.5001135270486918,0.19423968731120356,False,0.1820695932597898,-0.5001135270486918,0.020619945608781446,-7203.175064020925
1771,HELLS,0.0,0.0,-0.5031128132939404,0.4222970068028936,False,0.4310623571764029,0.5031128132939404,0.017247551213609352,-16468.508457700515
1785,NUCB2,0.0,0.0,-0.52623100044363,0.34089345050439696,False,0.33537860259779156,0.52623100044363,0.019332805322146988,-30707.99392717215
1788,LMNB1,0.0,0.0,-0.5323061285801851,0.4427225936831758,False,0.4314794312219828,0.5323061285801851,0.01699614931413446,-18593.45618840187
1792,SMC2,0.0,0.0,-0.5405250576319731,0.24895630240076572,False,1.2789428879686472e-06,0.5405250576319731,0.02272257499590535,-28860.211143310546
1794,DHFR,0.0,0.0,-0.5454533110517821,0.2546516442962462,False,0.12075230243271635,0.5454533110517821,0.022501385276973946,-3597.8507864653234
1809,LAT2,0.0,0.0,-0.5812167455935497,0.2836873329640075,False,5.619492270261883e-07,0.5812167455935497,0.02155881512466223,-31412.56947347171
1826,SDF2L1,0.0,0.0,-0.6320768662402274,0.16671965829463317,False,0.09365409656333294,0.6320768662402274,0.02858312280455142,-17576.591021899316
1834,LOC102124022,0.0,0.0,-0.6568392332087222,0.40681591275236734,False,2.8767480079207752e-05,0.6568392332087222,0.018445908805799764,-38352.38929959276
1836,SELL,0.0,0.0,-0.6706779255188463,0.33654796608407905,False,0.2965342405989028,0.6706779255188463,0.0203725750331915,-8208.984379997886
1838,SQLE,0.0,0.0,-0.6739808842289341,0.17615182282212982,False,0.05503290289829203,0.6739808842289341,0.028190181505773137,-2319.6532080014117
1841,CLEC11A,0.0,0.0,-0.6835658208367895,0.23447504263560434,False,0.016651068979531797,0.6835658208367895,0.024511321359121624,-4421.9900425917085
1842,BRCA1,0.0,0.0,-0.6880219216772525,0.2220210760121368,False,0.2421685753152067,0.6880219216772525,0.025226583669556546,-13303.158082940805
1854,MCM4,0.0,0.0,-0.7186253418538756,0.45856438529604104,False,0.4405904038955556,0.7186253418538756,0.017733183475309656,-10438.612012951828
1857,TEKT2,0.0,0.0,-0.7238548023217573,0.17103114896150232,False,0.015046630735499795,0.7238548023217573,0.02908788221810147,-2981.113763471451
1860,ZBTB16,0.0,0.0,-0.7347708923397209,0.2733538239047714,False,0.11803034305361937,0.7347708923397209,0.02309323305178201,-336.30986664721286
1869,MED12L,0.0,0.0,-0.7521238574730589,0.1729925726434175,False,0.0747513615338524,0.7521238574730589,0.029200326598183887,-8455.67611422904
1885,STON2,0.0,0.0,-0.786275124899604,0.17496493358556356,False,0.15622412608073696,0.786275124899604,0.02937674367358009,-8051.810415097421
1887,ITM2A,0.0,0.0,-0.788067987424918,0.35400761803629643,False,0.07853632480157713,0.788067987424918,0.02066527919025958,-1427.1797957120095
1903,PCNA,0.0,0.0,-0.8858615610830801,0.42488789485326656,False,0.45251161413712976,0.8858615610830801,0.019521929086736334,-10177.420702293683
1909,TREML1,0.0,0.0,-0.9013719679594119,0.1635288826286624,False,0.16774994532612478,0.9013719679594119,0.0316428394976036,-14443.913013094016
1911,PPIF,0.0,0.0,-0.9024350027096304,0.32973587702250123,False,0.32653180881885824,0.9024350027096304,0.02229232725301854,-4429.107071189333
1913,ANGPT2,0.0,0.0,-0.9218486991743682,0.16703107963613406,False,0.17350866941150284,0.9218486991743682,0.031541236033308696,-9281.13434063558
1914,MTSS1,0.0,0.0,-0.9275795926101235,0.22587648688086742,False,0.23082390031645136,0.9275795926101235,0.027179573995008515,-11590.659487259058
1916,LOC123569448,0.0,0.0,-0.930324505714179,0.3023312633859604,False,0.3124553387578375,0.930324505714179,0.023516283393225573,-10267.215906005737
1922,DTL,0.0,0.0,-1.0212857597311917,0.18662056178099629,False,0.20121119432584877,1.0212857597311917,0.03095015039653134,-19011.6798935247
1927,TYMS,0.0,0.0,-1.039385378760341,0.589857377897823,False,0.5887533207094902,1.039385378760341,0.017527058949826813,-8596.574188692468
1929,PDLIM1,0.0,0.0,-1.0617511344759514,0.21203419800820528,False,0.008473663408370751,1.0617511344759514,0.02948044889815894,-2839.0679981657327
1930,RFLNB,0.0,0.0,-1.0647345996942594,0.32747262970271274,False,0.0348257942925305,1.0647345996942594,0.023748643480773993,-31523.61696744048
1934,UHRF1,0.0,0.0,-1.1203689251082183,0.2999453565909978,False,0.2968140240223219,1.1203689251082183,0.02534567039604508,-5191.401314641322
1939,IGLL1,0.0,0.0,-1.1621594148452965,0.5169707891048436,False,1.376940046524508e-09,1.1621594148452965,0.01996798401199831,-46431.91670579535
1947,RRM2,0.0,0.0,-1.2720488927996803,0.1520760974480456,False,0.10652767264915325,1.2720488927996803,0.03777099610254785,-3636.41691329915
1956,MPO,0.0,0.0,-1.4443206067173724,0.3205390515973522,False,1.5393223911152826e-09,1.4443206067173724,0.029429017403929506,-35344.78900405596
1960,HCST,0.0,0.0,-1.5175769417796352,0.24820966754409346,False,0.24311037700780938,1.5175769417796352,0.03268691554078111,-11270.371209853096
1962,PCLAF,0.0,0.0,-1.617352094928193,0.21441291292956102,False,0.22355737063266642,1.617352094928193,0.03668227014397751,-11633.102930602632
